HAT-P-30 b	0	0.711	1.34	2.810595	0.0419	0.035	0.0	0.0	0.0	83.6	1552.5	0.0	transit	2011	12/11/24	8.26333333333	5.83666666667	192.0	1.24	0.898	0.13	6304.0	0.0	
Saturn	0	0.299	0.832944	10755.67	9.54149883	0.05550825	92.86136063	50.07571329	113.63998702	2.49424102	80.0	0.0		0	12/01/01	0.0	0.0	0.0	1.0	1.0	1e-08	0.0	0.0	
OGLE-TR-211 b	0	0.75	1.26	3.67724	0.051	0.0	0.0	0.0	0.0	87.2	1581.5	0.0	transit	2007	10/06/24	10.6708333333	-61.5444444444	0.0	1.33	1.64	0.11	6325.0	0.0	
WASP-5 b	0	1.637	1.171	1.6284246	0.02729	0.0	0.0	0.0	0.0	85.8	1584.0	0.0	transit	2007	10/11/29	23.9566666667	-40.7227777778	297.0	1.0	1.084	0.09	5700.0	0.0	
WASP-67 b	0	0.42	1.4	4.61442	0.0517	0.0	0.0	0.0	0.0	85.8	940.6	0.0	transit	2011	12/04/24	19.7163888889	-18.0505555556	225.0	0.87	0.87	-0.07	5200.0	0.0	
OGLE-TR-111 b	0	0.54	1.077	4.01451	0.047	0.0	0.0	0.0	0.0	88.1	940.0	0.0	transit	2004	10/12/14	10.8883333333	-60.5944444444	1500.0	0.82	0.831	0.12	5070.0	0.0	
CoRoT-19 b	0	1.11	1.45	3.89713	0.0518	0.047	0.0	0.0	0.0	87.61	1515.3	0.0	transit	2011	11/07/05	0.0	0.0	800.0	1.21	1.65	-0.02	6090.0	0.0	
Venus	0	0.0025637401	0.08656491	224.7	0.72332102	0.00676399	131.76755713	181.9797085	76.67261496	3.39777545	300.0	0.0		0	12/01/01	0.0	0.0	0.0	1.0	1.0	1e-08	0.0	0.0	
BD+30 1138 b	0	1.462	1.358	2.70339	0.04126	0.0	0.0	0.0	0.0	84.14	1667.7	0.0	transit	2012	12/11/07	9.78	31.7436111111	178.0	1.282	1.482	0.047	6304.0	0.0	
HAT-P-9 b	0	0.67	1.4	3.922814	0.053	0.0	0.0	0.0	0.0	86.5	1397.3	0.0	transit	2008	11/05/20	7.34444444444	37.1405555556	480.0	1.28	1.32	0.12	6350.0	0.0	
CoRoT-23 b	0	2.8	1.05	3.6314	0.0477	0.16	0.0	0.0	0.0	85.7	1508.9	0.0	transit	2011	11/09/20	0.0	0.0	600.0	1.14	1.61	0.05	5900.0	0.0	
Kepler-68 b	0	0.02610931	0.2105109	5.398763	0.0617	0.0	0.0	0.0	0.0	87.6	1280.0	0.0	transit	2013	13/02/13	19.4022222222	49.0402777778	135.0	1.079	1.243	0.12	5793.0	6.3	
WASP-63 b	0	0.38	1.43	4.37809	0.0574	0.0	0.0	0.0	0.0	87.8	442.9	0.0	transit	2011	12/04/24	6.28916666667	-37.6766666667	330.0	1.32	1.88	0.08	5550.0	0.0	
Qatar-1 b	0	1.33	1.164	1.42002504	0.02343	0.0	0.0	0.0	0.0	83.82	1389.0	0.0	transit	2010	13/04/02	20.2255555556	65.1619444444	0.0	0.85	0.8	0.2	4910.0	4.5	
WASP-29 b	0	0.244	0.792	3.922727	0.0457	0.03	0.0	0.0	0.0	88.8	910.6	0.0	transit	2010	10/09/28	23.8586111111	-38.0933333333	80.0	0.825	0.846	0.11	4800.0	0.0	
WASP-50 b	0	1.47	1.15	1.955096	0.02945	0.009	0.0	0.0	0.0	84.74	1289.9	0.0	transit	2011	11/08/15	2.9125	-9.10194444444	230.0	0.89	0.84	-0.12	5400.0	0.0	
Jupiter	0	1.0	1.0	4332.82	5.20248019	0.0485359	14.27495244	34.33479152	100.29282654	1.29861416	110.0	0.0		0	12/01/01	0.0	0.0	0.0	1.0	1.0	1e-08	0.0	0.0	
HD 97658 b	0	0.02	0.262	9.4957	0.0797	0.13	0.0	0.0	0.0	0.0	689.2	0.0	transit	2010	11/09/13	11.2425	25.7102777778	21.1	0.85	0.73	-0.23	5170.0	0.0	
Kepler-12 b	0	0.431	1.695	4.4379637	0.0556	0.01	0.0	0.0	0.0	88.76	1354.2	0.0	transit	2011	11/09/09	0.0	0.0	0.0	1.166	1.483	0.07	5947.0	0.0	
